,p_id,professor,student,hasPosition,inPhase,yearsInProgram,p_id_dummy,course_id,courseLevel
0,3.0,0,1,0,0,0,,,
1,4.0,0,1,0,0,0,,,
2,5.0,1,0,Faculty,0,0,,19.0,Level_500
3,5.0,1,0,Faculty,0,0,,51.0,Level_400
4,5.0,1,0,Faculty,0,0,,71.0,Level_500
5,6.0,0,1,0,Post_Quals,Year_2,29.0,,
6,6.0,0,1,0,Post_Quals,Year_2,165.0,,
7,7.0,1,0,Faculty_adj,0,0,,,
8,9.0,0,1,0,Post_Generals,Year_5,335.0,124.0,Level_300
9,13.0,0,1,0,Post_Generals,Year_7,240.0,,
10,14.0,0,1,0,Post_Generals,Year_10,150.0,,
11,15.0,0,1,0,Post_Quals,Year_3,,,
12,18.0,0,1,0,Pre_Quals,Year_3,335.0,51.0,Level_400
13,19.0,0,1,0,Pre_Quals,Year_1,,,
14,20.0,0,1,0,Pre_Quals,Year_1,,,
15,21.0,0,1,0,Post_Generals,Year_5,211.0,,
16,22.0,1,0,Faculty_eme,0,0,,21.0,Level_400
17,23.0,0,1,0,0,0,,,
18,27.0,0,1,0,Pre_Quals,Year_1,,,
19,29.0,1,0,Faculty_adj,0,0,,,
20,31.0,0,1,0,0,0,,,
21,35.0,0,1,0,0,0,,,
22,36.0,0,1,0,0,0,,,
23,37.0,0,1,0,Pre_Quals,Year_1,79.0,,
24,38.0,0,1,0,0,0,,,
25,39.0,0,1,0,0,0,,,
26,40.0,1,0,Faculty,0,0,,0.0,Level_500
27,40.0,1,0,Faculty,0,0,,1.0,Level_500
28,41.0,0,1,0,Post_Quals,Year_5,394.0,,
29,42.0,0,1,0,Pre_Quals,Year_1,,,
30,45.0,0,1,0,Post_Generals,Year_5,211.0,,
31,45.0,0,1,0,Post_Generals,Year_5,415.0,,
32,46.0,1,0,Faculty,0,0,,124.0,Level_300
33,46.0,1,0,Faculty,0,0,,172.0,Level_500
34,51.0,0,1,0,Pre_Quals,Year_2,,,
35,52.0,1,0,Faculty,0,0,,11.0,Level_300
36,52.0,1,0,Faculty,0,0,,77.0,Level_500
37,52.0,1,0,Faculty,0,0,,121.0,Level_500
38,52.0,1,0,Faculty,0,0,,147.0,Level_300
39,57.0,1,0,0,0,0,,11.0,Level_300
40,57.0,1,0,0,0,0,,147.0,Level_300
41,58.0,0,1,0,0,0,,,
42,61.0,0,1,0,0,0,,,
43,62.0,0,1,0,Pre_Quals,Year_2,104.0,,
44,63.0,0,1,0,Post_Generals,Year_5,415.0,,
45,64.0,1,0,0,0,0,,49.0,Level_400
46,67.0,0,1,0,Post_Generals,Year_6,98.0,,
47,67.0,0,1,0,Post_Generals,Year_6,375.0,,
48,68.0,0,1,0,Post_Generals,Year_5,201.0,,
49,70.0,0,1,0,Pre_Quals,Year_1,,,
50,71.0,0,1,0,0,0,,,
51,72.0,1,0,Faculty,0,0,,13.0,Level_500
52,72.0,1,0,Faculty,0,0,,79.0,Level_500
53,72.0,1,0,Faculty,0,0,,115.0,Level_500
54,72.0,1,0,Faculty,0,0,,157.0,Level_400
55,73.0,0,1,0,Post_Quals,Year_4,,,
56,75.0,0,1,0,Post_Generals,Year_6,331.0,165.0,Level_300
57,76.0,0,1,0,0,0,,,
58,77.0,0,1,0,0,0,,,
59,79.0,1,0,Faculty,0,0,,12.0,Level_500
60,79.0,1,0,Faculty,0,0,,16.0,Level_500
61,79.0,1,0,Faculty,0,0,,24.0,Level_400
62,79.0,1,0,Faculty,0,0,,64.0,Level_500
63,79.0,1,0,Faculty,0,0,,170.0,Level_500
64,80.0,0,1,0,Post_Generals,Year_6,234.0,,
65,81.0,0,1,0,Post_Generals,Year_6,342.0,,
66,81.0,0,1,0,Post_Generals,Year_6,393.0,,
67,82.0,1,0,Faculty,0,0,,120.0,Level_500
68,82.0,1,0,Faculty,0,0,,151.0,Level_400
69,83.0,0,1,0,Post_Quals,Year_5,349.0,,
70,84.0,0,1,0,0,0,,,
71,85.0,0,1,0,0,0,,,
72,86.0,0,1,0,0,0,,,
73,87.0,0,1,0,0,0,,,
74,88.0,0,1,0,0,0,,,
75,89.0,0,1,0,Post_Generals,Year_5,104.0,,
76,90.0,0,1,0,0,0,,,
77,92.0,0,1,0,Post_Generals,Year_5,101.0,,
78,94.0,0,1,0,Pre_Quals,Year_1,,,
79,96.0,0,1,0,Post_Generals,Year_5,5.0,,
80,98.0,1,0,Faculty,0,0,,80.0,Level_400
81,98.0,1,0,Faculty,0,0,,167.0,Level_500
82,99.0,0,1,0,Post_Quals,Year_2,104.0,21.0,Level_400
83,100.0,0,1,0,Post_Quals,Year_5,104.0,,
84,100.0,0,1,0,Post_Quals,Year_5,235.0,,
85,101.0,1,0,Faculty,0,0,,62.0,Level_400
86,101.0,1,0,Faculty,0,0,,80.0,Level_400
87,102.0,0,1,0,0,0,,,
88,103.0,1,0,Faculty_aff,0,0,,98.0,Level_500
89,104.0,1,0,Faculty,0,0,,38.0,Level_400
90,104.0,1,0,Faculty,0,0,,74.0,Level_500
91,105.0,0,1,0,0,0,,,
92,107.0,1,0,Faculty,0,0,,4.0,Level_500
93,107.0,1,0,Faculty,0,0,,18.0,Level_300
94,107.0,1,0,Faculty,0,0,,48.0,Level_400
95,107.0,1,0,Faculty,0,0,,61.0,Level_500
96,108.0,0,1,0,0,0,,,
97,111.0,1,0,Faculty_adj,0,0,,,
98,113.0,0,1,0,Post_Generals,Year_4,342.0,,
99,113.0,0,1,0,Post_Generals,Year_4,394.0,,
100,115.0,1,0,Faculty,0,0,,,
101,116.0,0,1,0,Pre_Quals,Year_3,124.0,,
102,118.0,0,1,0,Post_Generals,Year_4,5.0,,
103,119.0,0,1,0,0,0,,,
104,122.0,0,1,0,Post_Quals,Year_4,72.0,,
105,123.0,0,1,0,0,0,,,
